mode,case,allocations,requested_bytes,objective_evaluations,constraint_evaluations
old,camel,16,888,50,0
raw,camel,4759,253134,50,50
manual,camel,5015,257390,50,50
basin,camel,5060,258150,50,50
projected,camel,5160,259750,50,50
old-adapter,camel,75,1976,50,1
new-adapter,camel,5167,259918,50,51
current-adapter,camel,5167,259918,50,51
old,sphere,16,8504,200,0
raw,sphere,27037,7426565,200,201
manual,sphere,27979,7496837,200,201
basin,sphere,28131,7508909,200,201
projected,sphere,28532,7540989,200,201
old-adapter,sphere,225,25240,200,1
new-adapter,sphere,28539,7541541,200,202
current-adapter,sphere,28539,7541541,200,202
old,quadratic,19,1048,100,100
raw,quadratic,8521,357155,61,61
manual,quadratic,8833,363067,61,61
basin,quadratic,8887,363971,61,61
projected,quadratic,9009,365923,61,61
old-adapter,quadratic,526,7736,100,100
new-adapter,quadratic,9017,366099,61,62
current-adapter,quadratic,9017,366099,61,62
