case,mode,objective_calls,constraint_calls,constraint_call_unit,iterations,stop,f,violation,quality_pass,first_target_evaluation,lp_calls,model_builds,inverse_products,inverse_factorizations_including_init,x
camel,raw,50,50,vector,41,budget,-1.0316284527212884,0.0,True,35,41,47,154,1,"[-0.08983267000452426, 0.7126485783950974]"
camel,executor,50,50,vector,41,budget,-1.0316284527212884,0.0,True,35,,,,,"[-0.08983267000452426, 0.7126485783950974]"
camel,prima,50,50,vector,,budget,-1.0316284527212884,0.0,True,35,,,,,"[-0.08983267000435584, 0.7126485783952513]"
camel,cobyla-historical,50,0,scalar,,budget,-1.031628453385257,0.0,True,28,45,48,48,,"[-0.08983701888123703, 0.7126551010230995]"
camel,cobyla-native,50,0,scalar,,budget,-1.031628453385257,0.0,True,28,45,48,48,,"[-0.08983701888123703, 0.7126551010230995]"
camel,cobyla-rows,50,200,scalar,,budget,-1.031628453385257,0.0,True,28,45,48,48,,"[-0.08983701888123703, 0.7126551010230995]"
sphere,raw,200,201,vector,148,budget,5.725381469125405e-09,0.0,True,142,148,190,295,1,"[-4.304937686106528e-06, 3.717274669026402e-05, -3.8719132012542336e-05, 1.9351975617300047e-05, 3.5439686130697733e-07, -3.142309167947138e-05, 9.799880057928733e-06, 3.509577127753101e-05, 2.0789315849286826e-06, 1.1478531481300765e-05]"
sphere,executor,200,201,vector,148,budget,5.725381469125405e-09,0.0,True,142,,,,,"[-4.304937686106528e-06, 3.717274669026402e-05, -3.8719132012542336e-05, 1.9351975617300047e-05, 3.5439686130697733e-07, -3.142309167947138e-05, 9.799880057928733e-06, 3.509577127753101e-05, 2.0789315849286826e-06, 1.1478531481300765e-05]"
sphere,prima,200,200,vector,,budget,5.725381469125366e-09,0.0,True,142,,,,,"[-4.304937686106853e-06, 3.71727466902647e-05, -3.8719132012541584e-05, 1.9351975617292217e-05, 3.543968613074415e-07, -3.1423091679474905e-05, 9.799880057929977e-06, 3.509577127753019e-05, 2.0789315849306642e-06, 1.1478531481303863e-05]"
sphere,cobyla-historical,200,0,scalar,,budget,9.645687507123524e-07,0.0,True,160,108,190,190,,"[-0.00020162496341644877, -0.00019863922540289667, 0.0003997802924667022, -0.00016945737153013036, -0.00015928421739265757, -0.0002073856927623883, -0.0003912728806199884, -0.00012236445997062853, 0.0002930841814111692, 0.0006112056502695253]"
sphere,cobyla-native,200,0,scalar,,budget,9.645687507123524e-07,0.0,True,160,108,190,190,,"[-0.00020162496341644877, -0.00019863922540289667, 0.0003997802924667022, -0.00016945737153013036, -0.00015928421739265757, -0.0002073856927623883, -0.0003912728806199884, -0.00012236445997062853, 0.0002930841814111692, 0.0006112056502695253]"
sphere,cobyla-rows,200,4000,scalar,,budget,9.645687507123524e-07,0.0,True,160,108,190,190,,"[-0.00020162496341644877, -0.00019863922540289667, 0.0003997802924667022, -0.00016945737153013036, -0.00015928421739265757, -0.0002073856927623883, -0.0003912728806199884, -0.00012236445997062853, 0.0002930841814111692, 0.0006112056502695253]"
quadratic,raw,61,61,vector,50,rho_end,0.12499999736582204,5.26835597369768e-09,True,25,52,63,188,1,"[0.7500000007990925, 0.7500000044692635]"
quadratic,executor,61,61,vector,49,rho_end,0.12499999736582204,5.26835597369768e-09,True,25,,,,,"[0.7500000007990925, 0.7500000044692635]"
quadratic,prima,61,61,vector,,rho_end,0.12499999736582204,5.26835597369768e-09,True,25,,,,,"[0.7500000007990925, 0.7500000044692635]"
quadratic,cobyla-historical,100,100,scalar,,budget,0.125,0.0,True,31,98,135,135,,"[0.7499999990102119, 0.7500000009897881]"
quadratic,cobyla-native,81,81,scalar,,rho_end,0.12500000000000008,0.0,True,31,69,89,89,,"[0.7499999937418558, 0.7500000062581442]"
quadratic,cobyla-rows,81,405,scalar,,rho_end,0.12500000000000008,0.0,True,31,69,89,89,,"[0.7499999937418558, 0.7500000062581442]"
sphere_1,raw,20,20,vector,18,budget,1.232595164407831e-32,0.0,True,4,18,18,60,1,[-1.1102230246251565e-16]
sphere_1,executor,20,20,vector,18,budget,1.232595164407831e-32,0.0,True,4,,,,,[-1.1102230246251565e-16]
sphere_1,prima,20,20,vector,,budget,1.232595164407831e-32,0.0,True,4,,,,,[-1.1102230246251565e-16]
sphere_1,cobyla-historical,20,0,scalar,,budget,0.0,0.0,True,5,19,19,19,,[0.0]
sphere_1,cobyla-native,20,0,scalar,,budget,0.0,0.0,True,5,19,19,19,,[0.0]
sphere_1,cobyla-rows,20,40,scalar,,budget,0.0,0.0,True,5,19,19,19,,[0.0]
sphere_3,raw,60,61,vector,48,budget,1.98940901490763e-11,0.0,True,39,48,57,189,1,"[1.426010415227554e-06, 4.180954010328649e-06, -6.166100941888872e-07]"
sphere_3,executor,60,61,vector,48,budget,1.98940901490763e-11,0.0,True,39,,,,,"[1.426010415227554e-06, 4.180954010328649e-06, -6.166100941888872e-07]"
sphere_3,prima,60,60,vector,,budget,1.989409014901447e-11,0.0,True,39,,,,,"[1.426010415225907e-06, 4.180954010321901e-06, -6.166100941883121e-07]"
sphere_3,cobyla-historical,60,0,scalar,,budget,3.6538519337855187e-09,0.0,True,46,44,57,57,,"[1.1255357609217427e-07, 3.1077190853065056e-05, 5.184638342411356e-05]"
sphere_3,cobyla-native,60,0,scalar,,budget,3.6538519337855187e-09,0.0,True,46,44,57,57,,"[1.1255357609217427e-07, 3.1077190853065056e-05, 5.184638342411356e-05]"
sphere_3,cobyla-rows,60,360,scalar,,budget,3.6538519337855187e-09,0.0,True,46,44,57,57,,"[1.1255357609217427e-07, 3.1077190853065056e-05, 5.184638342411356e-05]"
sphere_5,raw,100,100,vector,73,budget,1.4418145664586786e-09,0.0,True,65,73,94,141,1,"[1.4336007798072007e-05, -2.5831195031736868e-05, 1.2050282842755576e-05, 1.967885678972962e-05, 6.047816875829891e-06]"
sphere_5,executor,100,100,vector,73,budget,1.4418145664586786e-09,0.0,True,65,,,,,"[1.4336007798072007e-05, -2.5831195031736868e-05, 1.2050282842755576e-05, 1.967885678972962e-05, 6.047816875829891e-06]"
sphere_5,prima,100,100,vector,,budget,2.1598869276845484e-11,0.0,True,62,,,,,"[2.3278429320873853e-06, -2.527998270385717e-06, 2.040711980131155e-06, -2.1778450213809783e-06, -9.390031854569927e-07]"
sphere_5,cobyla-historical,100,0,scalar,,budget,2.4553585189540337e-08,0.0,True,73,62,95,95,,"[-1.8148785319923418e-06, -0.00011648421966298087, 8.826082653330817e-05, 1.4721110126306888e-05, -5.454386666956513e-05]"
sphere_5,cobyla-native,100,0,scalar,,budget,2.4553585189540337e-08,0.0,True,73,62,95,95,,"[-1.8148785319923418e-06, -0.00011648421966298087, 8.826082653330817e-05, 1.4721110126306888e-05, -5.454386666956513e-05]"
sphere_5,cobyla-rows,100,1000,scalar,,budget,2.4553585189540337e-08,0.0,True,73,62,95,95,,"[-1.8148785319923418e-06, -0.00011648421966298087, 8.826082653330817e-05, 1.4721110126306888e-05, -5.454386666956513e-05]"
sphere_20,raw,400,400,vector,282,budget,3.391908635418484e-09,0.0,True,308,282,379,571,1,"[8.045254462173716e-06, -7.368576110354807e-06, -2.714373564271885e-05, -9.772045376093085e-06, 9.424221005143021e-06, 1.510232851893757e-06, -1.0400937403351575e-06, 3.5229010249254107e-07, -1.379013150476764e-05, 3.476387100809195e-06, 1.1057940592287664e-05, -3.546308449484946e-06, -5.986303032891831e-06, -5.329926708298684e-06, 1.7100603145893976e-05, -1.608542242068169e-05, 3.0502680548711823e-05, -1.8502436184194984e-05, -3.4065836042727954e-07, -1.108676021028409e-05]"
sphere_20,executor,400,400,vector,282,budget,3.391908635418484e-09,0.0,True,308,,,,,"[8.045254462173716e-06, -7.368576110354807e-06, -2.714373564271885e-05, -9.772045376093085e-06, 9.424221005143021e-06, 1.510232851893757e-06, -1.0400937403351575e-06, 3.5229010249254107e-07, -1.379013150476764e-05, 3.476387100809195e-06, 1.1057940592287664e-05, -3.546308449484946e-06, -5.986303032891831e-06, -5.329926708298684e-06, 1.7100603145893976e-05, -1.608542242068169e-05, 3.0502680548711823e-05, -1.8502436184194984e-05, -3.4065836042727954e-07, -1.108676021028409e-05]"
sphere_20,prima,400,400,vector,,budget,5.134577068581273e-09,0.0,True,307,,,,,"[-1.2781590353966623e-05, -1.9543366592639436e-05, 3.1585845743442044e-06, 6.77552607576487e-06, 1.0856533535662398e-05, -2.5190427349245056e-05, 1.2889954820935162e-05, -3.435041683422964e-06, 4.5923874708581764e-06, 1.3777928710775728e-05, 1.5321857572709986e-05, -2.0687724282381988e-05, 1.956694738401972e-05, 2.4216621148821505e-05, 1.0948516334749368e-05, 1.2028452183381663e-05, -1.70502320299184e-05, 6.615643921488314e-06, -3.373559167687199e-05, 4.78688726577475e-06]"
sphere_20,cobyla-historical,400,0,scalar,,budget,3.4163274952705126e-05,0.0,False,,198,380,380,,"[-0.0005657524983875052, -0.00048335592944354284, -0.001158702794834374, -0.0007065817299434878, 8.307184284921846e-05, 0.0009848400524727818, -0.0006683553427728115, -0.00021078566505567677, 0.0028165610019304905, -0.0014478972436575163, -0.0010807811512165352, 7.374259906931977e-05, 0.000720353902069346, -0.002265548092296781, 0.000740093427680655, 0.0004881101031491558, 0.0024306140478081296, 0.0009228823334535632, -0.00027706328372203114, 0.002413060201345168]"
sphere_20,cobyla-native,400,0,scalar,,budget,3.4163274952705126e-05,0.0,False,,198,380,380,,"[-0.0005657524983875052, -0.00048335592944354284, -0.001158702794834374, -0.0007065817299434878, 8.307184284921846e-05, 0.0009848400524727818, -0.0006683553427728115, -0.00021078566505567677, 0.0028165610019304905, -0.0014478972436575163, -0.0010807811512165352, 7.374259906931977e-05, 0.000720353902069346, -0.002265548092296781, 0.000740093427680655, 0.0004881101031491558, 0.0024306140478081296, 0.0009228823334535632, -0.00027706328372203114, 0.002413060201345168]"
sphere_20,cobyla-rows,400,16000,scalar,,budget,3.4163274952705126e-05,0.0,False,,198,380,380,,"[-0.0005657524983875052, -0.00048335592944354284, -0.001158702794834374, -0.0007065817299434878, 8.307184284921846e-05, 0.0009848400524727818, -0.0006683553427728115, -0.00021078566505567677, 0.0028165610019304905, -0.0014478972436575163, -0.0010807811512165352, 7.374259906931977e-05, 0.000720353902069346, -0.002265548092296781, 0.000740093427680655, 0.0004881101031491558, 0.0024306140478081296, 0.0009228823334535632, -0.00027706328372203114, 0.002413060201345168]"
sphere_40,raw,800,800,vector,546,budget,2.698606046965801e-07,0.0,True,696,546,759,1111,1,"[-8.498146118368142e-05, 0.0001120509218675862, 3.3887027803700676e-05, -9.081409368908983e-05, 2.526048282129886e-05, 3.6905514912322585e-05, 0.00013703991950778603, 4.018419020770025e-05, -2.5943445883024078e-05, 5.8905041569878114e-05, 5.245007578911896e-05, 6.072680100349508e-05, 4.462126724552078e-05, -9.151429469983957e-06, 0.00012509456569060465, -0.00023882906643063242, 0.00013588561317443408, 5.626787391907698e-05, -5.216023412588573e-05, -5.970381071058455e-05, -6.544201328361383e-05, 2.521874658945301e-05, -4.455275631795022e-05, -4.958808938685343e-06, -1.2153076221674185e-06, 1.2602782671428577e-05, -0.00014780312390730375, -9.653858560605596e-05, 2.94692255497382e-05, 0.00013893471995046777, -8.49660802241722e-05, 7.038933629319851e-06, -8.30736288544898e-05, -5.872101078960884e-05, -4.839821575707776e-05, 3.458383542029092e-05, 2.752417717217813e-05, 0.00015212181134543245, -3.211012175846219e-05, -2.2822529980478007e-05]"
sphere_40,executor,800,800,vector,546,budget,2.698606046965801e-07,0.0,True,696,,,,,"[-8.498146118368142e-05, 0.0001120509218675862, 3.3887027803700676e-05, -9.081409368908983e-05, 2.526048282129886e-05, 3.6905514912322585e-05, 0.00013703991950778603, 4.018419020770025e-05, -2.5943445883024078e-05, 5.8905041569878114e-05, 5.245007578911896e-05, 6.072680100349508e-05, 4.462126724552078e-05, -9.151429469983957e-06, 0.00012509456569060465, -0.00023882906643063242, 0.00013588561317443408, 5.626787391907698e-05, -5.216023412588573e-05, -5.970381071058455e-05, -6.544201328361383e-05, 2.521874658945301e-05, -4.455275631795022e-05, -4.958808938685343e-06, -1.2153076221674185e-06, 1.2602782671428577e-05, -0.00014780312390730375, -9.653858560605596e-05, 2.94692255497382e-05, 0.00013893471995046777, -8.49660802241722e-05, 7.038933629319851e-06, -8.30736288544898e-05, -5.872101078960884e-05, -4.839821575707776e-05, 3.458383542029092e-05, 2.752417717217813e-05, 0.00015212181134543245, -3.211012175846219e-05, -2.2822529980478007e-05]"
sphere_40,prima,800,800,vector,,budget,2.698606046965798e-07,0.0,True,696,,,,,"[-8.498146118367239e-05, 0.00011205092186754347, 3.3887027803745427e-05, -9.081409368906629e-05, 2.5260482821316997e-05, 3.6905514912389514e-05, 0.00013703991950778216, 4.018419020772417e-05, -2.594344588305707e-05, 5.8905041569904114e-05, 5.245007578910244e-05, 6.072680100342567e-05, 4.4621267245530933e-05, -9.15142947002937e-06, 0.0001250945656906321, -0.00023882906643063806, 0.0001358856131744004, 5.626787391904662e-05, -5.2160234125897274e-05, -5.970381071065189e-05, -6.544201328360722e-05, 2.521874658941756e-05, -4.455275631796168e-05, -4.958808938697432e-06, -1.215307622162133e-06, 1.2602782671380738e-05, -0.0001478031239072904, -9.653858560605531e-05, 2.9469225549694202e-05, 0.00013893471995044405, -8.496608022420788e-05, 7.038933629359407e-06, -8.307362885449447e-05, -5.8721010789656626e-05, -4.839821575715867e-05, 3.458383542029889e-05, 2.7524177172130553e-05, 0.00015212181134542012, -3.211012175850918e-05, -2.2822529980492302e-05]"
sphere_40,cobyla-historical,800,0,scalar,,budget,0.00014306043434090344,0.0,False,,388,760,760,,"[0.0005153156267976302, -0.0025368824151322748, 0.0035130291563694083, -0.001701705244255112, 0.0035335369757763598, -0.003210241869804657, 0.0011980057953363248, 0.0008741879644993022, -0.00262961354244735, -0.0012876477439342014, -0.0019387438108968106, 0.0011916087941858079, -0.00015883202689487297, -0.0005901575080238308, 0.0017018994043658422, 0.0006615733965688108, 0.0035775210381695944, -0.002665366817399742, 0.0013441003945999389, 0.00025843369041455866, -0.0011652353143623592, 0.00036797545734179246, -0.0004417871958642083, 0.0014205943102755562, -0.0009820170699614019, -0.0025603350055471816, -0.00031547210868596443, 0.0020585822443742125, -0.0033644201504377065, -0.0009544198197609065, 0.0022587744072470996, -0.0009833859638098139, 0.002337468670048722, -0.0013573008613872648, -0.0023144343556756796, 0.0011783493676171947, -0.0006099076582369644, -0.0005086860427344561, -0.0023944743545067865, -0.0016178333525809592]"
sphere_40,cobyla-native,800,0,scalar,,budget,0.00014306043434090344,0.0,False,,388,760,760,,"[0.0005153156267976302, -0.0025368824151322748, 0.0035130291563694083, -0.001701705244255112, 0.0035335369757763598, -0.003210241869804657, 0.0011980057953363248, 0.0008741879644993022, -0.00262961354244735, -0.0012876477439342014, -0.0019387438108968106, 0.0011916087941858079, -0.00015883202689487297, -0.0005901575080238308, 0.0017018994043658422, 0.0006615733965688108, 0.0035775210381695944, -0.002665366817399742, 0.0013441003945999389, 0.00025843369041455866, -0.0011652353143623592, 0.00036797545734179246, -0.0004417871958642083, 0.0014205943102755562, -0.0009820170699614019, -0.0025603350055471816, -0.00031547210868596443, 0.0020585822443742125, -0.0033644201504377065, -0.0009544198197609065, 0.0022587744072470996, -0.0009833859638098139, 0.002337468670048722, -0.0013573008613872648, -0.0023144343556756796, 0.0011783493676171947, -0.0006099076582369644, -0.0005086860427344561, -0.0023944743545067865, -0.0016178333525809592]"
sphere_40,cobyla-rows,800,64000,scalar,,budget,0.00014306043434090344,0.0,False,,388,760,760,,"[0.0005153156267976302, -0.0025368824151322748, 0.0035130291563694083, -0.001701705244255112, 0.0035335369757763598, -0.003210241869804657, 0.0011980057953363248, 0.0008741879644993022, -0.00262961354244735, -0.0012876477439342014, -0.0019387438108968106, 0.0011916087941858079, -0.00015883202689487297, -0.0005901575080238308, 0.0017018994043658422, 0.0006615733965688108, 0.0035775210381695944, -0.002665366817399742, 0.0013441003945999389, 0.00025843369041455866, -0.0011652353143623592, 0.00036797545734179246, -0.0004417871958642083, 0.0014205943102755562, -0.0009820170699614019, -0.0025603350055471816, -0.00031547210868596443, 0.0020585822443742125, -0.0033644201504377065, -0.0009544198197609065, 0.0022587744072470996, -0.0009833859638098139, 0.002337468670048722, -0.0013573008613872648, -0.0023144343556756796, 0.0011783493676171947, -0.0006099076582369644, -0.0005086860427344561, -0.0023944743545067865, -0.0016178333525809592]"
