mode,case,median_ns,q1_ns,q3_ns,mean_ns,stdev_ns
cobyla-historical,camel,6752.777,6720.2268,6796.1173,7009.774746666667,952.4441520094692
cobyla-historical,quadratic,20494.969333333334,20464.889666666666,20741.82083333333,20712.63471111111,437.55459500593474
cobyla-historical,sphere,365586.59,363906.90125,369534.8025,368882.52183333336,8158.173000272186
cobyla-historical,sphere_20,4746371.67,4736494.904999999,4814747.15,4803175.256,118993.02488250643
cobyla-historical,sphere_3,11216.133213321333,11196.648627362736,11280.549954995498,11352.732658265826,415.70176608150194
cobyla-native,camel,6768.4932,6733.0587,6822.173199999999,6814.175226666666,158.6385815756031
cobyla-native,quadratic,15574.398666666666,15515.958999999999,15802.720833333333,16262.975511111112,2278.330646160476
cobyla-native,sphere,365380.2,364616.865,366660.59625,377116.415,27744.564419941955
cobyla-native,sphere_20,4742711.89,4734755.975,4764179.619999999,4775024.826666666,114592.22296064501
cobyla-native,sphere_3,11198.946669666966,11166.531053105311,11287.19396939694,11257.13892889289,128.62560348749594
cobyla-rows,camel,7147.5638,7125.9155,7204.3886,7169.084493333334,80.0265776183269
cobyla-rows,quadratic,16065.767666666667,16036.366666666667,16183.659833333333,16142.49988888889,209.68966343160147
cobyla-rows,sphere,374827.105,374637.02375,376090.38375,375985.1338333333,3419.913308804001
cobyla-rows,sphere_20,4800195.84,4787476.975,4835163.8100000005,4827091.152,72740.223024064
cobyla-rows,sphere_3,12212.921242124212,12182.358348334834,12406.972209720972,12345.990534053406,262.84892076728784
executor,camel,17324.3232,17130.9283,17762.9592,17622.79784,761.9677646663023
executor,quadratic,26944.286666666667,26751.6565,27340.383333333335,27173.201333333334,643.4392304435174
executor,sphere,471295.3225,470352.53375,473923.53,472593.81,4183.215766997041
executor,sphere_20,4065654.29,4053453.2750000004,4110421.42,4104517.7313333335,111315.1053826486
executor,sphere_3,29147.127587758776,28735.536228622863,29398.172592259227,29672.972502250224,2098.2256690133836
lp-basin,camel,91.74839024390243,90.96823902439024,92.86314146341464,97.80568845528455,20.62379173554244
lp-basin,quadratic,168.87223076923078,168.10083974358975,169.41621794871796,169.04532393162393,1.2996066132644886
lp-basin,sphere,618.8033445945946,617.9732263513513,620.4855574324324,620.7564009009009,6.2579985257987625
lp-basin,sphere_20,2153.510709219858,2148.726524822695,2170.4148226950356,2161.909598108747,19.109238127542653
lp-basin,sphere_3,123.9887394989499,123.69613055055505,124.56044198169818,124.24206545654566,0.8520217824248458
lp-cobyla,camel,66.62768780487805,66.53845365853658,66.80460975609756,66.70869073170732,0.33800646123734307
lp-cobyla,quadratic,120.10015384615384,119.80304487179487,120.4436217948718,131.3729547008547,43.45578334864283
lp-cobyla,sphere,400.07067567567566,399.07675675675677,402.2442736486487,401.37186036036036,3.870176339061451
lp-cobyla,sphere_20,1453.279574468085,1451.7113120567376,1456.6732269503545,1479.3688747044916,85.07549981964051
lp-cobyla,sphere_3,88.6258907140714,88.27201938943895,89.38799973747375,90.21614348934894,5.382251680803752
prima,camel,156424.2542,155851.0636,157482.2475,157119.03974666668,3199.856221113975
prima,quadratic,262212.54,259680.37333333335,266318.4926666666,263931.23788888886,5799.35754985184
prima,sphere,1735781.3675,1723683.2625000002,1780508.435,1771563.718,88621.40842574013
prima,sphere_20,9034335.31,9020188.74,9162879.190000001,9157784.976666667,288571.2536417682
prima,sphere_3,218087.74459945995,215841.5032628263,219120.46579657967,218037.9411341134,2911.8719804902075
raw,camel,13751.4492,13668.349999999999,14455.076700000001,14208.131693333333,943.2471970380461
raw,quadratic,22627.903333333332,22297.222166666666,22735.851333333332,22678.741133333333,627.4760392855059
raw,sphere,458521.075,456231.90375,460184.48624999996,460818.43316666665,8337.238663675744
raw,sphere_20,4006066.03,4002442.41,4023823.8600000003,4016128.4146666666,25387.889734175274
raw,sphere_3,24245.753375337536,24046.68901890189,24444.552767776775,24391.728547854786,647.1473275450775
