dimension,revision,samples,median_us,q1_us,q3_us,objective_calls,constraint_calls,iterations,objective
1,before,7,4.7490,4.7445,4.7645,20,20,18,1.23259516440783095e-32
1,after,7,4.5573,4.5111,4.6014,20,20,18,1.23259516440783095e-32
3,before,7,34.0622,33.9499,34.1606,60,61,48,1.98940901490763004e-11
3,after,7,29.4288,29.2826,29.5074,60,61,48,1.98940901490763004e-11
5,before,7,100.0423,99.8503,100.3668,100,100,73,1.44181456645867860e-9
5,after,7,81.9108,81.3536,82.1098,100,100,73,1.44181456645867860e-9
20,before,7,5421.4297,5391.7030,5457.1781,400,400,282,3.39190863541848385e-9
20,after,7,4054.1390,4037.7224,4072.4287,400,400,282,3.39190863541848385e-9
40,before,7,65131.9926,64716.9094,65283.0996,800,800,546,2.69860604696580126e-7
40,after,7,50013.5653,49974.9290,50271.9051,800,800,546,2.69860604696580126e-7
