case,mode,revision,samples,median_us,q1_us,q3_us,mean_us,stddev_us
camel,basin,after,15,18.4532,18.4034,18.6900,18.7284,0.6360
camel,basin,before,15,22.6447,22.5025,22.7957,22.6841,0.2170
camel,current-adapter,after,15,19.8139,19.7510,19.8948,20.1382,1.0741
camel,current-adapter,before,15,23.5354,23.3833,23.8714,23.6918,0.4766
camel,old,reference,15,6.1560,6.1435,6.1871,6.2083,0.1608
camel,raw,after,15,15.8280,15.7556,16.1007,16.0634,0.4884
camel,raw,before,15,17.8322,17.8060,17.9667,17.9273,0.2606
quadratic,basin,after,15,28.9806,28.9322,29.1116,29.0620,0.2243
quadratic,basin,before,15,34.9980,34.9206,35.2036,35.1672,0.4342
quadratic,current-adapter,after,15,30.4405,30.4124,30.4746,30.4564,0.0898
quadratic,current-adapter,before,15,36.1484,36.0552,36.5145,36.3014,0.3173
quadratic,old,reference,15,19.8977,19.8200,20.0162,20.0041,0.3079
quadratic,raw,after,15,26.0115,25.9325,26.1377,26.0342,0.1244
quadratic,raw,before,15,29.8509,29.7873,29.9220,29.9357,0.2787
sphere,basin,after,15,470.7236,469.2309,473.0169,472.6262,5.8660
sphere,basin,before,15,614.0288,611.5404,616.0591,619.0561,18.6273
sphere,current-adapter,after,15,475.5795,474.2168,477.9290,476.3448,3.1396
sphere,current-adapter,before,15,618.2826,616.8283,620.8219,618.9505,2.8834
sphere,old,reference,15,360.3394,358.8886,361.0841,360.6845,2.4537
sphere,raw,after,15,451.3105,450.0956,454.2118,452.6369,3.5018
sphere,raw,before,15,584.9724,583.4656,587.9483,587.3822,8.0156
