comparison,mode,case,rounds,median_ratio,bootstrap_95_lower,bootstrap_95_upper
paired/before,lp-basin,camel,15,1.0103808374292937,1.0040635402238964,1.016322815111277
paired/before,lp-basin,quadratic,15,0.99749664825702,0.9947395497303891,1.0051225368065353
paired/before,lp-basin,sphere,15,0.9376914283484956,0.9342063846184024,0.9443763510598708
paired/before,lp-basin,sphere_1,15,0.9984703360965274,0.9966095534320061,1.0017113674950058
paired/before,lp-basin,sphere_20,15,0.9033053734925978,0.899179131673758,0.9055220790064201
paired/before,lp-basin,sphere_3,15,0.9805017589892029,0.9758021006034925,0.9854600526275389
paired/before,lp-basin,sphere_40,15,0.8418770946055023,0.8347294071438256,0.849549467865488
paired/before,lp-basin,sphere_5,15,0.9428151439966321,0.9382933044238175,0.9456799886203376
control/before,lp-basin,camel,15,0.9977539743669065,0.9905458671072582,1.0019400957179614
control/before,lp-basin,quadratic,15,1.0034069636280856,0.9992243401165039,1.0051017340652544
control/before,lp-basin,sphere,15,1.0017794111865295,0.999710822539432,1.003015976330628
control/before,lp-basin,sphere_1,15,1.0020457976227433,0.9976114463545914,1.0120590217590264
control/before,lp-basin,sphere_20,15,0.9983144226818405,0.9976631655403438,1.0038718118766987
control/before,lp-basin,sphere_3,15,0.9995881737278844,0.9956890682908508,1.002756300457573
control/before,lp-basin,sphere_40,15,0.9964916649445226,0.9878684038200475,1.000399682599747
control/before,lp-basin,sphere_5,15,0.9989881400198583,0.9961841510313258,1.0004621383073502
paired/control,lp-basin,camel,15,1.0093238414073042,1.0070654649878445,1.014303303027764
paired/control,lp-basin,quadratic,15,0.9964395693583369,0.9908678625005569,1.007679678494431
paired/control,lp-basin,sphere,15,0.9377670260491134,0.9341940081659477,0.9400218231771315
paired/control,lp-basin,sphere_1,15,1.0004633420442826,0.9850536202703317,1.0034381819342248
paired/control,lp-basin,sphere_20,15,0.9045974216040212,0.8996624478229598,0.9075278211687346
paired/control,lp-basin,sphere_3,15,0.9785801756537691,0.9766321157371908,0.9897428960944764
paired/control,lp-basin,sphere_40,15,0.8463032585311456,0.8452163738232183,0.8493368903264228
paired/control,lp-basin,sphere_5,15,0.9447839087364548,0.9415435771434173,0.9495216587931128
paired/lp-cobyla,lp-basin,camel,15,1.3747084549369444,1.362898108495861,1.3786166585706119
paired/lp-cobyla,lp-basin,quadratic,15,1.399584749024559,1.3953538611061458,1.4105241061643814
