revision,mode,case,median_ns,q1_ns,q3_ns,mean_ns,stdev_ns
paired,executor,camel,15956.6734,15824.611499999999,16147.243999999999,16032.01304,264.1264911225922
paired,executor,quadratic,24859.766666666666,24799.434166666666,25106.7355,24959.208844444445,219.31471190426043
paired,executor,sphere,467960.41,466487.66125,469117.47375,468514.57016666664,2498.10744674942
paired,executor,sphere_1,4763.989225,4748.6119875,4807.89195,4783.302758333333,50.3218531173644
paired,executor,sphere_20,3975698.98,3970466.635,3997973.34,3986354.3633333333,21897.69236965603
paired,executor,sphere_3,26738.26417641764,26703.729860486048,26788.046354635462,26844.646699669967,296.7503059486782
paired,executor,sphere_40,49301253.68,49116299.28,50659722.86,49888184.741333336,1134088.979384993
paired,executor,sphere_5,85191.911875,84992.5534375,86050.85250000001,85943.29916666666,2087.339038118682
paired,raw,camel,13656.816,13641.8455,13684.893,13695.749853333333,117.35701271204059
paired,raw,quadratic,22225.207,22201.48616666667,22246.572,22244.722066666665,74.02707862122936
paired,raw,sphere,467397.0825,466267.8575,469141.12875000003,468722.55683333334,4059.1557359388057
paired,raw,sphere_1,3887.302225,3876.2020625,3897.9895625,3916.5922466666666,114.52163531255862
paired,raw,sphere_20,3964352.52,3961077.995,3984228.57,3984896.306,42664.64992662238
paired,raw,sphere_3,24218.12308730873,24162.866899189918,24443.5448919892,24320.78207320732,216.77865186560527
paired,raw,sphere_40,49171067.68,49115553.019999996,49367139.24,49298546.05866667,310391.84723822185
paired,raw,sphere_5,80695.00125,80002.34687499999,80838.10750000001,80469.00966666666,505.5142039359747
before,executor,camel,15888.0908,15847.6458,15984.0456,16022.442026666668,365.4584292834092
before,executor,quadratic,25253.289666666667,25160.899333333335,25532.4915,25578.38808888889,830.2999429586289
before,executor,sphere,472392.135,471597.91875,474833.32875,473956.8535,4071.9418317081895
before,executor,sphere_1,4868.3943,4844.884975,4880.008425,4875.482255,48.13940619782612
before,executor,sphere_20,4042286.23,4035280.13,4058495.85,4049009.8493333333,18861.34917822516
before,executor,sphere_3,27622.8298829883,27598.014513951395,28006.238411341135,27843.272382238225,440.81700698526157
