version,case,mode,allocations,requested_bytes,objective_evaluations,constraint_evaluations
before,camel,old,16,888,50,0
after,camel,old,16,888,50,0
before,camel,raw,4759,253134,50,50
after,camel,raw,263,5984,50,50
before,camel,manual,5015,257390,50,50
after,camel,manual,439,9600,50,50
before,camel,basin,5060,258150,50,50
after,camel,basin,484,10360,50,50
before,camel,projected,5160,259750,50,50
after,camel,projected,584,11960,50,50
before,camel,old-adapter,75,1976,50,1
after,camel,old-adapter,75,1976,50,1
before,camel,new-adapter,5167,259918,50,51
after,camel,new-adapter,5167,259918,50,51
before,camel,current-adapter,5167,259918,50,51
after,camel,current-adapter,591,12128,50,51
before,sphere,old,16,8504,200,0
after,sphere,old,16,8504,200,0
before,sphere,raw,27037,7426565,200,201
after,sphere,raw,873,101584,200,201
before,sphere,manual,27979,7496837,200,201
after,sphere,manual,1521,169504,200,201
before,sphere,basin,28131,7508909,200,201
after,sphere,basin,1673,181576,200,201
before,sphere,projected,28532,7540989,200,201
after,sphere,projected,2074,213656,200,201
before,sphere,old-adapter,225,25240,200,1
after,sphere,old-adapter,225,25240,200,1
before,sphere,new-adapter,28539,7541541,200,202
after,sphere,new-adapter,28539,7541541,200,202
before,sphere,current-adapter,28539,7541541,200,202
after,sphere,current-adapter,2081,214208,200,202
before,quadratic,old,19,1048,100,100
after,quadratic,old,19,1048,100,100
before,quadratic,raw,8521,357155,61,61
after,quadratic,raw,377,8376,61,61
before,quadratic,manual,8833,363067,61,61
after,quadratic,manual,591,13264,61,61
before,quadratic,basin,8887,363971,61,61
after,quadratic,basin,645,14168,61,61
before,quadratic,projected,9009,365923,61,61
after,quadratic,projected,767,16120,61,61
before,quadratic,old-adapter,526,7736,100,100
after,quadratic,old-adapter,526,7736,100,100
before,quadratic,new-adapter,9017,366099,61,62
after,quadratic,new-adapter,9017,366099,61,62
before,quadratic,current-adapter,9017,366099,61,62
after,quadratic,current-adapter,775,16296,61,62
