case,version,mode,solves_per_process,mean_us_per_solve,stddev_us_per_solve
camel,old,old,5000,7.696821097333333,0.7038335216325824
camel,before,raw,5000,50.76437787066668,0.5551693966349577
camel,after,raw,5000,19.209109590666667,1.2749280373264176
camel,before,basin,5000,55.047175070666675,0.9035371258725188
camel,after,basin,5000,22.403856204,0.11823476396011416
camel,old,old-adapter,5000,6.661847124,0.03417915563320507
camel,before,current-adapter,5000,56.89260647066667,6.090049751226584
camel,after,current-adapter,5000,23.707803203999998,0.18147724995141104
sphere,old,old,400,444.94412708333334,0.7409670661881248
sphere,before,raw,400,1181.1061690833335,15.606869529410307
sphere,after,raw,400,624.0662709166667,14.524223371331663
sphere,before,basin,400,1198.9873644166669,5.047201217014249
sphere,after,basin,400,644.9042490833335,10.539971188631702
sphere,old,old-adapter,400,451.85582541666673,2.7363665303107476
sphere,before,current-adapter,400,1453.38394125,158.80789814687103
sphere,after,current-adapter,400,673.5773099166669,35.735401351334865
quadratic,old,old,3000,20.497822528888886,0.10583337790399291
quadratic,before,raw,3000,85.87923539555555,0.30277971316663177
quadratic,after,raw,3000,30.35132028444445,0.20883795067965327
quadratic,before,basin,3000,91.55868890666666,0.28779182007028126
quadratic,after,basin,3000,35.863942217777776,1.1058685075568826
quadratic,old,old-adapter,3000,24.34953443555556,0.5558981033546382
quadratic,before,current-adapter,3000,94.2029917688889,3.6665340007529967
quadratic,after,current-adapter,3000,37.80670919111111,1.2073818219963257
