case,mode,objective_calls,constraint_calls,wrapper_calls,iterations,stop,native_status,f,violation,quality_pass,point
camel,prima,50,50,,,budget,3,-1.0316284527212884,0.0,True,"[-0.08983267000435584, 0.7126485783952513]"
camel,raw,50,50,,41,budget,,-1.0316284527212884,0.0,True,"[-0.08983267000452426, 0.7126485783950974]"
camel,executor,50,50,50,41,budget,,-1.0316284527212884,0.0,True,"[-0.08983267000452426, 0.7126485783950974]"
sphere,prima,200,200,,,budget,3,5.725381469125366e-09,0.0,True,"[-4.304937686106853e-06, 3.71727466902647e-05, -3.8719132012541584e-05, 1.9351975617292217e-05, 3.543968613074415e-07, -3.1423091679474905e-05, 9.799880057929977e-06, 3.509577127753019e-05, 2.0789315849306642e-06, 1.1478531481303863e-05]"
sphere,raw,200,201,,148,budget,,5.725381469125405e-09,0.0,True,"[-4.304937686106528e-06, 3.717274669026402e-05, -3.8719132012542336e-05, 1.9351975617300047e-05, 3.5439686130697733e-07, -3.142309167947138e-05, 9.799880057928733e-06, 3.509577127753101e-05, 2.0789315849286826e-06, 1.1478531481300765e-05]"
sphere,executor,200,201,201,148,budget,,5.725381469125405e-09,0.0,True,"[-4.304937686106528e-06, 3.717274669026402e-05, -3.8719132012542336e-05, 1.9351975617300047e-05, 3.5439686130697733e-07, -3.142309167947138e-05, 9.799880057928733e-06, 3.509577127753101e-05, 2.0789315849286826e-06, 1.1478531481300765e-05]"
quadratic,prima,61,61,,,rho_end,0,0.12499999736582204,5.26835597369768e-09,True,"[0.7500000007990925, 0.7500000044692635]"
quadratic,raw,61,61,,50,rho_end,,0.12499999736582204,5.26835597369768e-09,True,"[0.7500000007990925, 0.7500000044692635]"
quadratic,executor,61,61,61,49,rho_end,,0.12499999736582204,5.26835597369768e-09,True,"[0.7500000007990925, 0.7500000044692635]"
sphere_1,prima,20,20,,,budget,3,1.232595164407831e-32,0.0,True,[-1.1102230246251565e-16]
sphere_1,raw,20,20,,18,budget,,1.232595164407831e-32,0.0,True,[-1.1102230246251565e-16]
sphere_1,executor,20,20,20,18,budget,,1.232595164407831e-32,0.0,True,[-1.1102230246251565e-16]
sphere_3,prima,60,60,,,budget,3,1.989409014901447e-11,0.0,True,"[1.426010415225907e-06, 4.180954010321901e-06, -6.166100941883121e-07]"
sphere_3,raw,60,61,,48,budget,,1.98940901490763e-11,0.0,True,"[1.426010415227554e-06, 4.180954010328649e-06, -6.166100941888872e-07]"
sphere_3,executor,60,61,61,48,budget,,1.98940901490763e-11,0.0,True,"[1.426010415227554e-06, 4.180954010328649e-06, -6.166100941888872e-07]"
sphere_5,prima,100,100,,,budget,3,2.1598869276845484e-11,0.0,True,"[2.3278429320873853e-06, -2.527998270385717e-06, 2.040711980131155e-06, -2.1778450213809783e-06, -9.390031854569927e-07]"
sphere_5,raw,100,100,,73,budget,,1.4418145664586786e-09,0.0,True,"[1.4336007798072007e-05, -2.5831195031736868e-05, 1.2050282842755576e-05, 1.967885678972962e-05, 6.047816875829891e-06]"
sphere_5,executor,100,100,100,73,budget,,1.4418145664586786e-09,0.0,True,"[1.4336007798072007e-05, -2.5831195031736868e-05, 1.2050282842755576e-05, 1.967885678972962e-05, 6.047816875829891e-06]"
sphere_20,prima,400,400,,,budget,3,5.134577068581273e-09,0.0,True,"[-1.2781590353966623e-05, -1.9543366592639436e-05, 3.1585845743442044e-06, 6.77552607576487e-06, 1.0856533535662398e-05, -2.5190427349245056e-05, 1.2889954820935162e-05, -3.435041683422964e-06, 4.5923874708581764e-06, 1.3777928710775728e-05, 1.5321857572709986e-05, -2.0687724282381988e-05, 1.956694738401972e-05, 2.4216621148821505e-05, 1.0948516334749368e-05, 1.2028452183381663e-05, -1.70502320299184e-05, 6.615643921488314e-06, -3.373559167687199e-05, 4.78688726577475e-06]"
sphere_20,raw,400,400,,282,budget,,3.391908635418484e-09,0.0,True,"[8.045254462173716e-06, -7.368576110354807e-06, -2.714373564271885e-05, -9.772045376093085e-06, 9.424221005143021e-06, 1.510232851893757e-06, -1.0400937403351575e-06, 3.5229010249254107e-07, -1.379013150476764e-05, 3.476387100809195e-06, 1.1057940592287664e-05, -3.546308449484946e-06, -5.986303032891831e-06, -5.329926708298684e-06, 1.7100603145893976e-05, -1.608542242068169e-05, 3.0502680548711823e-05, -1.8502436184194984e-05, -3.4065836042727954e-07, -1.108676021028409e-05]"
sphere_20,executor,400,400,400,282,budget,,3.391908635418484e-09,0.0,True,"[8.045254462173716e-06, -7.368576110354807e-06, -2.714373564271885e-05, -9.772045376093085e-06, 9.424221005143021e-06, 1.510232851893757e-06, -1.0400937403351575e-06, 3.5229010249254107e-07, -1.379013150476764e-05, 3.476387100809195e-06, 1.1057940592287664e-05, -3.546308449484946e-06, -5.986303032891831e-06, -5.329926708298684e-06, 1.7100603145893976e-05, -1.608542242068169e-05, 3.0502680548711823e-05, -1.8502436184194984e-05, -3.4065836042727954e-07, -1.108676021028409e-05]"
sphere_40,prima,800,800,,,budget,3,2.698606046965798e-07,0.0,True,"[-8.498146118367239e-05, 0.00011205092186754347, 3.3887027803745427e-05, -9.081409368906629e-05, 2.5260482821316997e-05, 3.6905514912389514e-05, 0.00013703991950778216, 4.018419020772417e-05, -2.594344588305707e-05, 5.8905041569904114e-05, 5.245007578910244e-05, 6.072680100342567e-05, 4.4621267245530933e-05, -9.15142947002937e-06, 0.0001250945656906321, -0.00023882906643063806, 0.0001358856131744004, 5.626787391904662e-05, -5.2160234125897274e-05, -5.970381071065189e-05, -6.544201328360722e-05, 2.521874658941756e-05, -4.455275631796168e-05, -4.958808938697432e-06, -1.215307622162133e-06, 1.2602782671380738e-05, -0.0001478031239072904, -9.653858560605531e-05, 2.9469225549694202e-05, 0.00013893471995044405, -8.496608022420788e-05, 7.038933629359407e-06, -8.307362885449447e-05, -5.8721010789656626e-05, -4.839821575715867e-05, 3.458383542029889e-05, 2.7524177172130553e-05, 0.00015212181134542012, -3.211012175850918e-05, -2.2822529980492302e-05]"
sphere_40,raw,800,800,,546,budget,,2.698606046965801e-07,0.0,True,"[-8.498146118368142e-05, 0.0001120509218675862, 3.3887027803700676e-05, -9.081409368908983e-05, 2.526048282129886e-05, 3.6905514912322585e-05, 0.00013703991950778603, 4.018419020770025e-05, -2.5943445883024078e-05, 5.8905041569878114e-05, 5.245007578911896e-05, 6.072680100349508e-05, 4.462126724552078e-05, -9.151429469983957e-06, 0.00012509456569060465, -0.00023882906643063242, 0.00013588561317443408, 5.626787391907698e-05, -5.216023412588573e-05, -5.970381071058455e-05, -6.544201328361383e-05, 2.521874658945301e-05, -4.455275631795022e-05, -4.958808938685343e-06, -1.2153076221674185e-06, 1.2602782671428577e-05, -0.00014780312390730375, -9.653858560605596e-05, 2.94692255497382e-05, 0.00013893471995046777, -8.49660802241722e-05, 7.038933629319851e-06, -8.30736288544898e-05, -5.872101078960884e-05, -4.839821575707776e-05, 3.458383542029092e-05, 2.752417717217813e-05, 0.00015212181134543245, -3.211012175846219e-05, -2.2822529980478007e-05]"
sphere_40,executor,800,800,800,546,budget,,2.698606046965801e-07,0.0,True,"[-8.498146118368142e-05, 0.0001120509218675862, 3.3887027803700676e-05, -9.081409368908983e-05, 2.526048282129886e-05, 3.6905514912322585e-05, 0.00013703991950778603, 4.018419020770025e-05, -2.5943445883024078e-05, 5.8905041569878114e-05, 5.245007578911896e-05, 6.072680100349508e-05, 4.462126724552078e-05, -9.151429469983957e-06, 0.00012509456569060465, -0.00023882906643063242, 0.00013588561317443408, 5.626787391907698e-05, -5.216023412588573e-05, -5.970381071058455e-05, -6.544201328361383e-05, 2.521874658945301e-05, -4.455275631795022e-05, -4.958808938685343e-06, -1.2153076221674185e-06, 1.2602782671428577e-05, -0.00014780312390730375, -9.653858560605596e-05, 2.94692255497382e-05, 0.00013893471995046777, -8.49660802241722e-05, 7.038933629319851e-06, -8.30736288544898e-05, -5.872101078960884e-05, -4.839821575707776e-05, 3.458383542029092e-05, 2.752417717217813e-05, 0.00015212181134543245, -3.211012175846219e-05, -2.2822529980478007e-05]"
