revision,mode,case,median_ns,q1_ns,q3_ns,mean_ns,stdev_ns
after,executor,camel,17679.9146,17541.182399999998,17841.7705,17773.579213333334,376.3947544834463
after,executor,quadratic,27287.114,27059.75833333333,27353.182166666666,27749.455688888887,1494.9479916947764
after,executor,sphere,471051.5525,466923.62875000003,486891.36624999996,526338.7435,129388.48671573005
after,executor,sphere_1,5808.55225,5791.7023,5889.680575,5887.912738333333,185.0640169555512
after,executor,sphere_20,4037447.84,4024889.835,4064224.44,4052012.6133333333,38697.64357894045
after,executor,sphere_3,29106.270252025202,28906.435306030602,29206.53082808281,29150.944104410442,381.17048321810853
after,executor,sphere_40,50233275.24,49870578.620000005,51566465.620000005,51094941.84533333,1773425.5339319182
after,executor,sphere_5,85346.238125,84774.93843750001,85842.1228125,89077.48666666666,12635.93151756616
after,raw,camel,14775.2522,14684.8094,15108.240399999999,15601.08048,2478.420336328257
after,raw,quadratic,23431.947666666667,23388.0795,23750.469166666666,23616.549844444446,386.75967344610854
after,raw,sphere,456417.0525,455229.5025,460775.95625,458184.01116666663,4341.467945055306
after,raw,sphere_1,4415.49625,4376.0285625,4491.7469,4451.40532,99.21594501343723
after,raw,sphere_20,4019159.05,3996454.295,4033877.075,4020471.3886666666,33736.27659097373
after,raw,sphere_3,25762.48087308731,25523.047254725472,26076.98616111611,25795.15415541554,354.98500967808934
after,raw,sphere_40,50166872.6,49776217.36,50544648.48,50248023.22133333,523584.0795730381
after,raw,sphere_5,83368.544375,82353.4765625,83852.70000000001,83523.59379166666,1586.9298291049968
before,executor,camel,18554.2808,18506.0215,18613.886599999998,18590.130346666665,171.12728427554373
before,executor,quadratic,28819.578666666668,28701.236833333332,28966.445333333333,28959.380622222223,442.0174308544723
before,executor,sphere,475999.1475,469674.28,481985.38249999995,486745.8675,34000.10622409276
before,executor,sphere_1,6091.108425,6069.8063999999995,6106.7291000000005,6116.335065,97.6869396931188
before,executor,sphere_20,4063431.2,4039565.02,4123895.825,4236882.826666667,530224.5018828424
before,executor,sphere_3,31366.608235823584,31110.199819981997,31805.398289828983,31623.462241224122,861.3539573319425
before,executor,sphere_40,50241305.48,50137972.54,50923557.42,51915425.77066667,5030983.146027475
before,executor,sphere_5,86285.263125,85784.5353125,86948.9471875,87116.10641666666,2561.7955052824705
before,raw,camel,15120.4354,14909.378700000001,15350.2993,15187.3812,369.0829059423218
before,raw,quadratic,24914.958666666666,24814.0985,25181.938166666667,26460.347555555556,4141.353738754248
before,raw,sphere,458549.8525,457340.53375,464257.34625,487452.206,98768.24256416918
before,raw,sphere_1,4671.891075,4642.631612499999,4768.8597375,4707.609721666667,97.66698160895025
before,raw,sphere_20,4040935.52,4000844.87,4078151.335,4246142.501333334,588701.3447802444
before,raw,sphere_3,28624.800405040503,28480.2799279928,28706.15290279028,28759.277662766275,540.8412038375951
before,raw,sphere_40,50003896.2,49787804.379999995,50520327.32,51055902.76533333,3801590.465897034
before,raw,sphere_5,81732.175625,81427.0246875,84607.63062499999,86257.21016666667,11312.098561257819
reference,prima,camel,158356.6448,157480.135,160740.7894,162425.38654666668,12411.96571738446
reference,prima,quadratic,262825.15633333335,262367.934,266168.22816666664,264813.7989333333,4153.629111876181
reference,prima,sphere,1725375.525,1717458.1825,1745349.8675,1737290.6454999999,35946.469358454466
reference,prima,sphere_1,55213.77435,54803.3976625,56590.63818749999,59219.48288833333,11195.04638458045
reference,prima,sphere_20,9062938.8,9046177.605,9127811.235,9183565.27,348967.5203700961
reference,prima,sphere_3,219366.9383438344,217194.82572007203,223466.22569756975,226633.44506450646,26931.563509652435
reference,prima,sphere_40,73586627.8,73301712.06,73981972.53999999,73942144.46133333,1078175.543989534
reference,prima,sphere_5,461157.685,459386.073125,472365.6721875,468454.30425,15564.171169649095
