revision,case,mode,phase,requests,bytes
before,camel,raw,setup,57,1712
before,camel,raw,iteration,104,1824
before,camel,raw,callback,50,1600
before,camel,raw,output,1,16
before,camel,executor,setup,66,2056
before,camel,executor,iteration,151,3328
before,camel,executor,callback,50,1600
before,camel,executor,output,2,32
before,sphere,raw,setup,83,23024
before,sphere,raw,iteration,388,31680
before,sphere,raw,callback,201,32160
before,sphere,raw,output,1,80
before,sphere,executor,setup,100,25224
before,sphere,executor,iteration,578,62080
before,sphere,executor,callback,201,32160
before,sphere,executor,output,2,160
before,quadratic,raw,setup,57,1880
before,quadratic,raw,iteration,135,2544
before,quadratic,raw,callback,61,2440
before,quadratic,raw,output,1,16
before,quadratic,executor,setup,66,2248
before,quadratic,executor,iteration,193,4864
before,quadratic,executor,callback,61,2440
before,quadratic,executor,output,2,32
before,sphere_1,raw,setup,54,760
before,sphere_1,raw,iteration,44,416
before,sphere_1,raw,callback,20,320
before,sphere_1,raw,output,1,8
before,sphere_1,executor,setup,62,1016
before,sphere_1,executor,iteration,62,704
before,sphere_1,executor,callback,20,320
before,sphere_1,executor,output,2,16
before,sphere_3,raw,setup,60,3000
before,sphere_3,raw,iteration,124,3216
before,sphere_3,raw,callback,61,2928
before,sphere_3,raw,output,1,24
before,sphere_3,executor,setup,70,3464
before,sphere_3,executor,iteration,181,5952
before,sphere_3,executor,callback,61,2928
before,sphere_3,executor,output,2,48
before,sphere_5,raw,setup,68,6984
before,sphere_5,raw,iteration,198,8320
before,sphere_5,raw,callback,100,8000
before,sphere_5,raw,output,1,40
before,sphere_5,executor,setup,80,7784
before,sphere_5,executor,iteration,292,15840
before,sphere_5,executor,callback,100,8000
before,sphere_5,executor,output,2,80
before,sphere_20,raw,setup,113,82704
before,sphere_20,raw,iteration,766,123840
before,sphere_20,raw,callback,400,128000
before,sphere_20,raw,output,1,160
before,sphere_20,executor,setup,140,90104
before,sphere_20,executor,iteration,1145,245120
before,sphere_20,executor,callback,400,128000
before,sphere_20,executor,output,2,320
before,sphere_40,raw,setup,173,312464
before,sphere_40,raw,iteration,1526,490880
before,sphere_40,raw,callback,800,512000
before,sphere_40,raw,output,1,320
before,sphere_40,executor,setup,220,339864
before,sphere_40,executor,iteration,2285,976640
before,sphere_40,executor,callback,800,512000
before,sphere_40,executor,output,2,640
after,camel,raw,setup,60,1760
after,camel,raw,iteration,10,320
after,camel,raw,callback,50,1600
after,camel,raw,output,1,16
after,camel,executor,setup,69,2104
after,camel,executor,iteration,57,1824
after,camel,executor,callback,50,1600
after,camel,executor,output,2,32
after,sphere,raw,setup,86,23264
after,sphere,raw,iteration,8,1280
after,sphere,raw,callback,201,32160
after,sphere,raw,output,1,80
after,sphere,executor,setup,103,25464
after,sphere,executor,iteration,198,31680
after,sphere,executor,callback,201,32160
after,sphere,executor,output,2,160
after,quadratic,raw,setup,60,1928
after,quadratic,raw,iteration,16,640
after,quadratic,raw,callback,61,2440
after,quadratic,raw,output,1,16
after,quadratic,executor,setup,69,2296
after,quadratic,executor,iteration,74,2960
after,quadratic,executor,callback,61,2440
after,quadratic,executor,output,2,32
after,sphere_1,raw,setup,57,784
after,sphere_1,raw,iteration,8,128
after,sphere_1,raw,callback,20,320
after,sphere_1,raw,output,1,8
after,sphere_1,executor,setup,65,1040
after,sphere_1,executor,iteration,26,416
after,sphere_1,executor,callback,20,320
after,sphere_1,executor,output,2,16
after,sphere_3,raw,setup,63,3072
after,sphere_3,raw,iteration,10,480
after,sphere_3,raw,callback,61,2928
after,sphere_3,raw,output,1,24
after,sphere_3,executor,setup,73,3536
after,sphere_3,executor,iteration,67,3216
after,sphere_3,executor,callback,61,2928
after,sphere_3,executor,output,2,48
after,sphere_5,raw,setup,71,7104
after,sphere_5,raw,iteration,10,800
after,sphere_5,raw,callback,100,8000
after,sphere_5,raw,output,1,40
after,sphere_5,executor,setup,83,7904
after,sphere_5,executor,iteration,104,8320
after,sphere_5,executor,callback,100,8000
after,sphere_5,executor,output,2,80
after,sphere_20,raw,setup,116,83184
after,sphere_20,raw,iteration,8,2560
after,sphere_20,raw,callback,400,128000
after,sphere_20,raw,output,1,160
after,sphere_20,executor,setup,143,90584
after,sphere_20,executor,iteration,387,123840
after,sphere_20,executor,callback,400,128000
after,sphere_20,executor,output,2,320
after,sphere_40,raw,setup,176,313424
after,sphere_40,raw,iteration,8,5120
after,sphere_40,raw,callback,800,512000
after,sphere_40,raw,output,1,320
after,sphere_40,executor,setup,223,340824
after,sphere_40,executor,iteration,767,490880
after,sphere_40,executor,callback,800,512000
after,sphere_40,executor,output,2,640
