comparison,mode,case,rounds,median_ratio,bootstrap_95_lower,bootstrap_95_upper
after/before,executor,camel,12,0.9725892397329963,0.9662495098269979,0.9769856320142711
after/before,executor,quadratic,12,0.9810075845587234,0.9749096491381597,0.9869275357927206
after/before,executor,sphere,12,0.9933546289743328,0.9907686090283623,0.9986655522362116
after/before,executor,sphere_1,12,0.9622527221711739,0.9592381258037853,0.9694323110289313
after/before,executor,sphere_20,12,0.9973398681475438,0.9932071280279778,1.0068441868047355
after/before,executor,sphere_3,12,0.9773052355891912,0.9725907927311066,0.9827302620347462
after/before,executor,sphere_40,12,0.9856380782684069,0.9831613049458214,0.9875421113134288
after/before,executor,sphere_5,12,0.9961629500993648,0.9917422638733329,0.998939731166226
after/before,raw,camel,12,0.9918958350204783,0.9895228380592734,0.9944803407371896
after/before,raw,quadratic,12,0.9831580770223391,0.9761472666272436,0.9893227127254511
after/before,raw,sphere,12,1.0122921764715866,1.0105163986738797,1.0163131303027633
after/before,raw,sphere_1,12,0.9670923418826067,0.9582263645839153,0.9709088827336567
after/before,raw,sphere_20,12,1.0028340859348583,0.9948674058940452,1.0033941801181991
after/before,raw,sphere_3,12,0.9993065837460782,0.9976362256463049,1.003791820838037
after/before,raw,sphere_40,12,1.008591690563666,1.0059516130305344,1.01012248694129
after/before,raw,sphere_5,12,1.0097443506682553,1.0077726876044464,1.01169487134956
control/before,executor,camel,12,0.9997699063856385,0.9937668065120382,1.0063119177340252
control/before,executor,quadratic,12,0.9981323325179587,0.9911102987524851,1.0050012390569143
control/before,executor,sphere,12,0.9933326764006402,0.9897544529459399,1.0015584998074651
control/before,executor,sphere_1,12,0.9979940156411811,0.9936932007835222,1.0066559798646049
control/before,executor,sphere_20,12,1.0012705626639948,0.9994308370542135,1.0099969027806819
control/before,executor,sphere_3,12,0.9985935185814727,0.9949413973434518,1.0018912255913932
control/before,executor,sphere_40,12,1.0009875266171495,0.9964086053722083,1.004078581005888
control/before,executor,sphere_5,12,0.9970035267609005,0.9909513177724634,1.0036006890767948
control/before,raw,camel,12,1.0019419261758813,0.9947900099416289,1.0105426566748275
control/before,raw,quadratic,12,1.0007305340664003,0.9904055318848941,1.0060018237631874
control/before,raw,sphere,12,0.9984942104750862,0.9950843448067156,1.0025529285424561
control/before,raw,sphere_1,12,0.9962712302871793,0.9917640129042535,1.0023442888118475
control/before,raw,sphere_20,12,0.9991475139308716,0.9904677224340461,1.0030733650348718
control/before,raw,sphere_3,12,0.9977967524879647,0.9968781585987345,0.9999345664815458
control/before,raw,sphere_40,12,0.9987274419576707,0.9952943205251847,1.0035243475933164
control/before,raw,sphere_5,12,0.9972501965816964,0.9924819966599332,1.0002644947517618
after/control,executor,camel,12,0.9733094898586565,0.9673564870585952,0.9778550647109667
after/control,executor,quadratic,12,0.9861232142179682,0.9806464321483992,0.9869353265800385
after/control,executor,sphere,12,0.9985579187220268,0.993667126851367,1.0056596178385435
after/control,executor,sphere_1,12,0.9660948499540447,0.9595240224784134,0.9712159753545802
after/control,executor,sphere_20,12,0.9946679188230865,0.9914586834196731,1.0027340248753207
after/control,executor,sphere_3,12,0.9808038125440659,0.9746555611043173,0.9823981540243993
after/control,executor,sphere_40,12,0.9867348357743244,0.982585748815351,0.9883867609082724
after/control,executor,sphere_5,12,0.9999243389271795,0.9966559666874836,1.001028559158312
after/control,raw,camel,12,0.9856771108875425,0.9803215009435408,0.9975200183816227
after/control,raw,quadratic,12,0.9848738625066151,0.9792014141977982,0.9894916538094574
after/control,raw,sphere,12,1.0145658950470804,1.0081767043513667,1.0183189058498745
after/control,raw,sphere_1,12,0.9683907694725746,0.962816702508926,0.9726547975715181
after/control,raw,sphere_20,12,1.000827184325657,0.9969930606657857,1.0055025726793723
after/control,raw,sphere_3,12,1.0008390664902724,0.9973140128521716,1.007167615314801
after/control,raw,sphere_40,12,1.0098066550394105,1.0049757022122954,1.013185146498356
after/control,raw,sphere_5,12,1.0156453168195494,1.0070754063414573,1.0203623592485993
after/cobyla-native,executor,camel,12,2.2895634732801198,2.284977191592977,2.3015669178593225
after/cobyla-native,executor,quadratic,12,1.5931527508721008,1.583880013842656,1.5993802719184806
after/cobyla-native,executor,sphere,12,1.2228501024855687,1.2158530273804473,1.2258150222116784
after/cobyla-native,executor,sphere_1,12,3.3201393396126964,3.315051987625413,3.3467772855768896
after/cobyla-native,executor,sphere_20,12,0.6871689725903503,0.6853922028045561,0.691225964371773
after/cobyla-native,executor,sphere_3,12,2.108707256490541,2.0930931361283704,2.1156684980690867
after/cobyla-native,executor,sphere_40,12,0.4738842069055975,0.472278261272736,0.47719118962300955
after/cobyla-native,executor,sphere_5,12,1.853590950179584,1.8402023799296825,1.864673044910396
after/cobyla-rows,executor,camel,12,2.0484475183633704,2.0277733867350833,2.0626781713041
after/cobyla-rows,executor,quadratic,12,1.5030387467145547,1.4973714355344936,1.5125033707435764
after/cobyla-rows,executor,sphere,12,1.190179039249363,1.1889943435549484,1.1946140652001014
after/cobyla-rows,executor,sphere_1,12,2.933247227956084,2.9035763943478483,2.94548604467455
after/cobyla-rows,executor,sphere_20,12,0.6820734610001161,0.6799421555395997,0.6866564630817272
after/cobyla-rows,executor,sphere_3,12,1.9131350619724392,1.9101452527167964,1.9328851063310966
after/cobyla-rows,executor,sphere_40,12,0.4754867767773082,0.4738511909230714,0.4773236394407029
after/cobyla-rows,executor,sphere_5,12,1.7377786133397597,1.718890086899012,1.745143628464064
after/cobyla-native,raw,camel,12,2.0449076826113233,2.020068568045992,2.063843998957325
after/cobyla-native,raw,quadratic,12,1.4472045461203789,1.4406139679801653,1.45115856396753
after/cobyla-native,raw,sphere,12,1.2376096685512339,1.2327204903775948,1.2407388333475702
after/cobyla-native,raw,sphere_1,12,2.8028033826761654,2.7890188497703825,2.815946075616601
after/cobyla-native,raw,sphere_20,12,0.6868497438358889,0.6825262275148236,0.6891396898946166
after/cobyla-native,raw,sphere_3,12,1.9673570883185971,1.9517318282500973,1.975140089049363
after/cobyla-native,raw,sphere_40,12,0.47992892288403877,0.4789257243977338,0.4835227777531529
after/cobyla-native,raw,sphere_5,12,1.8056811494450855,1.787397394564968,1.819761948924452
after/cobyla-rows,raw,camel,12,1.8183790938983297,1.8101315142240622,1.8295789684027879
after/cobyla-rows,raw,quadratic,12,1.3609152908409352,1.3568566614104383,1.3771189512340527
after/cobyla-rows,raw,sphere,12,1.2029979594617681,1.2000546343839873,1.2075232897436172
after/cobyla-rows,raw,sphere_1,12,2.470183281513634,2.4516664352915383,2.4832940216782937
after/cobyla-rows,raw,sphere_20,12,0.6817390278309768,0.6783824489222342,0.6841903572789236
after/cobyla-rows,raw,sphere_3,12,1.7964530462690238,1.7828817938481256,1.8049473394687046
after/cobyla-rows,raw,sphere_40,12,0.4822271489622626,0.479469884808009,0.48350354187634925
after/cobyla-rows,raw,sphere_5,12,1.6926516503423075,1.6765071662037538,1.7009894191754489
before/cobyla-native,executor,camel,12,2.3602620982451876,2.343912579070214,2.3683919198037144
before/cobyla-native,executor,quadratic,12,1.6212023063729037,1.6129903961741543,1.6324681978280706
before/cobyla-native,executor,sphere,12,1.231000621781812,1.2192417935909603,1.235973847253296
before/cobyla-native,executor,sphere_1,12,3.4600228099104076,3.453120015775837,3.4726574079040278
before/cobyla-native,executor,sphere_20,12,0.6876177760785591,0.6812147413698759,0.6918569130886918
before/cobyla-native,executor,sphere_3,12,2.1508235193594283,2.1392050544061236,2.166493217499104
before/cobyla-native,executor,sphere_40,12,0.480473850792409,0.4788895474133994,0.4820949719145144
before/cobyla-native,executor,sphere_5,12,1.8597969820140585,1.8492065647167018,1.8684954495790922
before/cobyla-rows,executor,camel,12,2.1075703690422234,2.0787500743029814,2.116495364172633
before/cobyla-rows,executor,quadratic,12,1.5299962857431435,1.520251002332802,1.541256146934472
before/cobyla-rows,executor,sphere,12,1.1986957349859844,1.1944060254373792,1.2028742242733383
before/cobyla-rows,executor,sphere_1,12,3.0423225826296445,3.031066664036273,3.062418550149765
before/cobyla-rows,executor,sphere_20,12,0.6833763301144523,0.6811347375643931,0.686359793670582
before/cobyla-rows,executor,sphere_3,12,1.9602932122040817,1.944817558316721,1.9813017866939324
before/cobyla-rows,executor,sphere_40,12,0.4817972461612293,0.4806196288634601,0.48288298099540083
before/cobyla-rows,executor,sphere_5,12,1.7457277455958913,1.7251923315883757,1.7527124090940205
before/cobyla-native,raw,camel,12,2.0579331808199366,2.040534324996952,2.0790036831165017
before/cobyla-native,raw,quadratic,12,1.4678305404959102,1.4607716811269045,1.4825112332329158
before/cobyla-native,raw,sphere,12,1.2209908397971314,1.2173083707683612,1.2252296954763766
before/cobyla-native,raw,sphere_1,12,2.9093423787799395,2.889461501954525,2.9337913149694526
before/cobyla-native,raw,sphere_20,12,0.6854049135654765,0.6790770318546735,0.6949265043430635
before/cobyla-native,raw,sphere_3,12,1.9660486276663964,1.952675752510343,1.9754304491620986
before/cobyla-native,raw,sphere_40,12,0.47609290976811214,0.4730558222287776,0.4799356535207744
before/cobyla-native,raw,sphere_5,12,1.789710888295612,1.7758418159227265,1.8010932000858129
before/cobyla-rows,raw,camel,12,1.8376346978998894,1.823499333888182,1.8488215781053063
