revision,mode,case,median_ns,q1_ns,q3_ns,mean_ns,stdev_ns
after,executor,camel,19551.2994,19460.574500000002,19732.25475,19631.032633333332,254.42070992730095
after,executor,quadratic,30401.9465,30241.3555,30553.351583333337,30395.092722222224,284.8065863975959
after,executor,sphere,674120.1387499999,670386.183125,680065.6587500001,675064.6916666667,5612.4164592747275
after,executor,sphere_1,6121.9888875,6075.7693875,6172.431525,6119.944145833333,93.97621606198047
after,executor,sphere_20,5165161.01,5120207.33,5201662.6525,5165780.7925,69266.18248204101
after,executor,sphere_3,32774.174729973,32519.042698019803,32828.07605760576,32653.856791929193,347.68301661715054
after,executor,sphere_40,57569650.6,57472788.36000001,57942497.29000001,57655817.763333336,347040.3505842034
after,executor,sphere_5,108434.5403125,108240.45921875001,109013.58859375,108701.62770833334,889.1872808645936
after,raw,camel,17427.2931,17373.9577,17635.425900000002,17504.297116666665,197.56770002884312
after,raw,quadratic,27653.6575,27496.08175,27817.095833333333,27617.517527777778,314.1046504680656
after,raw,sphere,682743.87375,677759.2831250001,686455.315625,683711.1829166667,8888.902424595732
after,raw,sphere_1,5146.6151,5101.0961875,5195.10534375,5152.67965625,83.26962501871783
after,raw,sphere_20,5145052.67,5119665.39,5181636.9525,5146808.955833334,42272.64981170015
after,raw,sphere_3,30546.959945994597,30347.625956345637,30806.627193969398,30513.09882238224,309.7145387331375
after,raw,sphere_40,58413723.58,58168308.51,58749455.58,58476600.17666667,399586.2617268482
after,raw,sphere_5,105837.1965625,105393.93093750002,106302.45578125,106154.48427083333,1110.5212906006186
before,executor,camel,20202.1682,20038.53225,20299.54585,20175.78846666667,192.45624447382792
before,executor,quadratic,31033.389333333333,30699.471916666665,31153.430916666664,31013.00638888889,439.691342425084
before,executor,sphere,677594.39,674884.931875,683154.8518749999,678804.2616666667,5148.112608620553
before,executor,sphere_1,6355.395625,6315.37484375,6376.1278437500005,6345.761839583333,85.33256383807627
before,executor,sphere_20,5156762.905,5121902.4525,5190610.2175,5157304.738333333,54795.11753006729
before,executor,sphere_3,33489.52610261026,33054.96934068407,33750.57965796579,33402.53742874287,422.61416938281457
before,executor,sphere_40,58382547.9,58276939.7,58638642.5,58466554.266666666,304878.54966786935
before,executor,sphere_5,109184.28687499999,108772.35453124999,109772.0865625,109253.01713541667,814.8992682114118
before,raw,camel,17609.0016,17501.50875,17732.59985,17647.687583333332,189.4941375025712
before,raw,quadratic,28144.30216666667,27798.8145,28347.56408333333,28083.305916666668,380.01351038332973
before,raw,sphere,674198.73375,671803.645625,677660.665625,675177.4639583334,5531.780901767501
before,raw,sphere_1,5363.39545,5302.44394375,5386.74161875,5341.50811875,85.92863575197032
before,raw,sphere_20,5150271.15,5106778.605,5183987.6925,5154245.778333333,58708.435097581794
before,raw,sphere_3,30529.549729972998,30431.954039153916,30679.068125562553,30484.50896339634,355.1081521550438
before,raw,sphere_40,57717062.32,57633233.4,58390305.45999999,57973038.20666666,533778.4484555218
before,raw,sphere_5,105020.135625,104207.4234375,105377.24203125,104982.28145833334,977.9362081327603
reference,cobyla-native,camel,8555.007000000001,8485.400650000001,8621.182,8559.30145,93.02560159956482
reference,cobyla-native,quadratic,19027.7535,19014.441583333333,19162.031916666667,19076.939166666667,152.71477366358943
reference,cobyla-native,sphere,551758.13125,549472.6225,554500.01625,552569.4929166667,5227.216443456258
reference,cobyla-native,sphere_1,1834.7153125,1824.66608125,1852.9064625,1838.6924520833334,27.873204778853744
