case,start,solver,stopping,condition,converged,residual_calls,jacobian_calls,residual_norm,relative_residual,gradient_infinity,gradient_orthogonality,parameter_error,equivalent_parameter_error,fit_target,recovery_target,termination,parameters
collinear-1e-4,0,cholesky,relative,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.84439139e-13,2.84439139e-13,true,true,"SolverConverged","[1.0000000000002844, -1.0000000000002844]"
collinear-1e-4,0,qr,relative,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.52908805e-13,2.52908805e-13,true,true,"SolverConverged","[1.000000000000253, -1.000000000000253]"
collinear-1e-4,0,trust-cholesky,relative,2.44948975e4,true,4,3,1.11022302e-16,7.85046229e-13,1.11033405e-16,5.77408002e-1,4.07562872e-13,4.07562872e-13,true,true,"SolverConverged","[0.9999999999995924, -0.9999999999995924]"
collinear-1e-4,0,trust-qr,relative,2.44948975e4,true,3,2,3.33066907e-16,2.35513869e-12,5.55111512e-16,9.62250449e-1,6.82787160e-14,6.82787160e-14,true,true,"SolverConverged","[0.9999999999999317, -0.9999999999999319]"
collinear-1e-4,0,minpack,relative,2.44948975e4,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,4.33431069e-13,4.33431069e-13,true,true,"ResidualsZero","[0.9999999999995666, -0.9999999999995666]"
collinear-1e-4,0,cholesky,gradient-only,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.84439139e-13,2.84439139e-13,true,true,"SolverConverged","[1.0000000000002844, -1.0000000000002844]"
collinear-1e-4,0,qr,gradient-only,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.52908805e-13,2.52908805e-13,true,true,"SolverConverged","[1.000000000000253, -1.000000000000253]"
collinear-1e-4,0,trust-cholesky,gradient-only,2.44948975e4,true,7,4,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.78364007e-13,3.78364007e-13,true,true,"SolverConverged","[0.9999999999996216, -0.9999999999996216]"
collinear-1e-4,0,trust-qr,gradient-only,2.44948975e4,true,7,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.16795462e-13,1.16795462e-13,true,true,"SolverConverged","[1.0000000000001168, -1.0000000000001168]"
collinear-1e-4,0,minpack,gradient-only,2.44948975e4,true,3,2,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,4.33431069e-13,4.33431069e-13,true,true,"ResidualsZero","[0.9999999999995666, -0.9999999999995666]"
collinear-1e-4,0,cholesky,model-only,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.84439139e-13,2.84439139e-13,true,true,"SolverConverged","[1.0000000000002844, -1.0000000000002844]"
collinear-1e-4,0,qr,model-only,2.44948975e4,true,21,21,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,2.52908805e-13,2.52908805e-13,true,true,"SolverConverged","[1.000000000000253, -1.000000000000253]"
collinear-1e-4,0,trust-cholesky,model-only,2.44948975e4,true,7,4,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,3.78364007e-13,3.78364007e-13,true,true,"SolverConverged","[0.9999999999996216, -0.9999999999996216]"
collinear-1e-4,0,trust-qr,model-only,2.44948975e4,true,7,3,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,1.16795462e-13,1.16795462e-13,true,true,"SolverConverged","[1.0000000000001168, -1.0000000000001168]"
