case,start,solver,condition,converged,residual_calls,jacobian_calls,residual_norm,parameter_error,equivalent_parameter_error,termination,parameters
collinear-1e-4,0,cholesky,2.44948975e4,true,21,21,0.00000000e0,2.84439139e-13,2.84439139e-13,"SolverConverged","[1.0000000000002844, -1.0000000000002844]"
collinear-1e-4,0,qr,2.44948975e4,true,21,21,0.00000000e0,2.52908805e-13,2.52908805e-13,"SolverConverged","[1.000000000000253, -1.000000000000253]"
collinear-1e-4,0,minpack,2.44948975e4,true,3,2,0.00000000e0,4.33431069e-13,4.33431069e-13,"ResidualsZero","[0.9999999999995666, -0.9999999999995666]"
collinear-1e-4,1,cholesky,2.44948975e4,true,20,20,0.00000000e0,1.69197989e-13,1.69197989e-13,"SolverConverged","[1.0000000000001692, -1.0000000000001692]"
collinear-1e-4,1,qr,2.44948975e4,true,21,20,0.00000000e0,3.00426350e-13,3.00426350e-13,"SolverConverged","[1.0000000000003004, -1.0000000000003004]"
collinear-1e-4,1,minpack,2.44948975e4,true,3,2,0.00000000e0,5.55111512e-13,5.55111512e-13,"ResidualsZero","[0.9999999999994449, -0.9999999999994449]"
collinear-1e-8,0,cholesky,2.44948975e8,true,2,1,1.41421356e-8,1.00000000e0,1.00000000e0,"SolverConverged","[3.333516947629358e-14, -3.3331497211615715e-14]"
collinear-1e-8,0,qr,2.44948975e8,true,2,1,1.41421356e-8,1.00000000e0,1.00000000e0,"SolverConverged","[3.333516935609941e-14, -3.333149709126371e-14]"
collinear-1e-8,0,minpack,2.44948975e8,true,2,1,0.00000000e0,2.22044605e-16,2.22044605e-16,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-1e-8,1,cholesky,2.44948975e8,true,8,6,7.07106781e-9,5.00000000e-1,5.00000000e-1,"SolverConverged","[0.5000000000020665, -0.5000000000020665]"
collinear-1e-8,1,qr,2.44948975e8,true,8,6,7.07106781e-9,5.00000000e-1,5.00000000e-1,"SolverConverged","[0.5000000000020173, -0.5000000000020173]"
collinear-1e-8,1,minpack,2.44948975e8,true,3,2,0.00000000e0,2.22044605e-16,2.22044605e-16,"ResidualsZero","[0.9999999999999998, -0.9999999999999998]"
collinear-0e0,0,cholesky,inf,true,1,1,0.00000000e0,1.00000000e0,1.00000000e0,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,qr,inf,true,1,1,0.00000000e0,1.00000000e0,1.00000000e0,"SolverConverged","[0.0, 0.0]"
collinear-0e0,0,minpack,inf,true,1,0,0.00000000e0,1.00000000e0,1.00000000e0,"ResidualsZero","[0.0, 0.0]"
