separation,mu,cholesky_error,qr_error,qr_result
1e-4,1e-3,3.79070903e-18,1.53928704e-18,ok
1e-4,1e-10,4.92355473e-9,2.69113847e-13,ok
1e-4,1e-16,1.17827905e-8,2.93921350e-13,ok
1e-4,1e-20,4.00005934e-8,2.94156833e-13,ok
1e-4,0e0,3.99963500e-8,2.93607290e-13,ok
1e-6,1e-3,2.43402058e-20,1.20162541e-20,ok
1e-6,1e-10,1.69037594e-9,1.45554011e-13,ok
1e-6,1e-16,1.54694607e-5,4.40667645e-11,ok
1e-6,1e-20,5.02533399e-4,4.41064878e-11,ok
1e-6,0e0,5.02490972e-4,4.41060168e-11,ok
1e-8,1e-3,7.89674282e-23,9.11253345e-23,ok
1e-8,1e-10,1.19273038e-13,5.34961806e-16,ok
1e-8,1e-16,3.51008064e-2,2.00567065e-10,ok
1e-8,1e-20,NaN,1.60309172e-9,ok
1e-8,0e0,NaN,1.60453479e-9,ok
1e-10,1e-3,2.05787701e-24,5.06772037e-24,ok
1e-10,1e-10,1.72610777e-17,5.12607162e-17,ok
1e-10,1e-16,1.52936107e-5,5.12555803e-11,ok
1e-10,1e-20,NaN,1.92227108e-7,ok
1e-10,0e0,NaN,1.53782406e-6,ok
0e0,1e-3,0.00000000e0,0.00000000e0,ok
0e0,1e-10,0.00000000e0,0.00000000e0,ok
0e0,1e-16,0.00000000e0,0.00000000e0,ok
0e0,1e-20,NaN,0.00000000e0,ok
0e0,0e0,NaN,NaN,regularized QR system is numerically rank-deficient
