case,start,solver,profile,row,boundary,residual_calls,jacobian_calls,trial_evaluated,accepted,trial_unchanged,base_residual_norm,base_relative_residual,base_gradient_inf,base_orthogonality,base_equivalent_parameter_error,actual_relative_reduction,reconstructed_linear_relative_reduction,reconstructed_relative_step,reconstructed_scaled_relative_step,svd_rank,svd_relative_model_potential,svd_relative_step,svd_scaled_relative_step,reason
collinear-1e-8,0,nielsen-cholesky,relative,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,6.6560138948091504e-14,6.6666869134408491e-14,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,Some(SolverConverged)
collinear-1e-8,0,nielsen-cholesky,relative,final,1,2,1,false,false,false,1.4142135616286684e-8,9.9999999999996669e-1,1.0000550905475673e-16,4.0827078384708670e-9,9.9999999999996669e-1,,,,,2,1.0000000000000009e0,2.9999999977993082e13,2.9999999977993090e13,Some(SolverConverged)
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,6.6560138948091504e-14,6.6666869134408491e-14,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,2,3,2,true,true,false,1.4142135616286684e-8,9.9999999999996669e-1,1.0000550905475673e-16,4.0827078384708670e-9,9.9999999999996669e-1,2.0005019539399946e-13,1.9999999938099024e-13,7.4999999992888888e-1,7.4999999992888888e-1,2,1.0000000000000009e0,2.9999999977993082e13,2.9999999977993090e13,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,3,4,3,true,true,false,1.4142135616285269e-8,9.9999999999986666e-1,1.0000000168623835e-16,4.0824829627972292e-9,9.9999999999986666e-1,6.0015058618211848e-13,6.0000000146940484e-13,6.9230769230153499e-1,6.9230769230153488e-1,2,1.0000000000000004e0,7.5000000051618203e12,7.5000000051618213e12,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,4,5,4,true,true,false,1.4142135616281026e-8,9.9999999999956657e-1,1.0000000168623835e-16,4.0824829627972292e-9,9.9999999999956668e-1,1.7998354609645827e-12,1.7999999943130006e-12,6.7499999999972360e-1,6.7499999999972371e-1,2,1.0000000000000009e0,2.3076923094776870e12,2.3076923094776865e12,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,5,6,5,true,true,false,1.4142135616268299e-8,9.9999999999866662e-1,1.0000000003187713e-16,4.0824829627972292e-9,9.9999999999866662e-1,5.3999994209697500e-12,5.3999999930347673e-12,6.6942148760565712e-1,6.6942148760565712e-1,2,1.0000000000000009e0,7.5000000058476013e11,7.5000000058476025e11,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,6,7,6,true,true,false,1.4142135616230114e-8,9.9999999999596656e-1,1.0000000168623835e-16,4.0824829072860780e-9,9.9999999999596667e-1,1.6199998262996730e-11,1.6199999979103753e-11,6.6758241757974979e-1,6.6758241757974968e-1,2,1.0000000000000009e0,2.4793388448855450e11,2.4793388448855453e11,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,7,8,7,true,true,false,1.4142135616115563e-8,9.9999999998786659e-1,1.0000000168623835e-16,4.0824829627972292e-9,9.9999999998786671e-1,4.8599994789777504e-11,4.8600000098872167e-11,6.6697163767530265e-1,6.6697163767530276e-1,2,1.0000000000000009e0,8.2417582481085022e10,8.2417582481085007e10,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,8,9,8,true,true,false,1.4142135615771909e-8,9.9999999996356659e-1,1.0000000168623835e-16,4.0824829072860780e-9,9.9999999996356670e-1,1.4579998437641841e-10,1.4579999997349688e-10,6.6676829277608485e-1,6.6676829277608485e-1,2,1.0000000000000009e0,2.7447392519769650e10,2.7447392519769653e10,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,9,10,9,true,true,false,1.4142135614740948e-8,9.9999999989066668e-1,1.0000000168623835e-16,4.0824829627972292e-9,9.9999999989066668e-1,4.3739995319302810e-10,4.3739999992049286e-10,6.6670053861543066e-1,6.6670053861543066e-1,2,1.0000000000000009e0,9.1463414675409966e9,9.1463414675409966e9,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,10,11,10,true,true,false,1.4142135611648063e-8,9.9999999967196662e-1,1.0000000003187713e-16,4.0824829627972292e-9,9.9999999967196662e-1,1.3122001066720737e-9,1.3122000023464162e-9,6.6667795710877575e-1,6.6667795710877586e-1,2,1.0000000000000009e0,3.0484706841040654e9,3.0484706841040649e9,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,first-unchanged,106,107,100,true,false,true,6.2803698347351007e-16,4.4408921008381162e-8,8.8817841923262733e-24,8.1649658145721560e-9,4.7636156907948646e-8,0.0000000000000000e0,-0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,2,1.0000000000000004e0,4.4408923172800475e-8,4.4408923172800468e-8,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,boundary,599,600,100,true,false,true,6.2803698347351007e-16,4.4408921008381162e-8,8.8817841923262733e-24,8.1649658145721560e-9,4.7636156907948646e-8,0.0000000000000000e0,-0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,2,1.0000000000000004e0,4.4408923172800475e-8,4.4408923172800468e-8,None
collinear-1e-8,0,nielsen-cholesky,gradient-only,final,599,600,100,false,false,false,6.2803698347351007e-16,4.4408921008381162e-8,8.8817841923262733e-24,8.1649658145721560e-9,4.7636156907948646e-8,,,,,2,1.0000000000000004e0,4.4408923172800475e-8,4.4408923172800468e-8,Some(MaxIter)
collinear-1e-8,0,nielsen-qr,relative,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,6.6560138948091504e-14,6.6666869134494496e-14,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,Some(SolverConverged)
collinear-1e-8,0,nielsen-qr,relative,final,1,2,1,false,false,false,1.4142135616286684e-8,9.9999999999996669e-1,1.0000550905475673e-16,4.0827078384708670e-9,9.9999999999996669e-1,,,,,2,1.0000000000000009e0,3.0000000086238859e13,3.0000000086238863e13,Some(SolverConverged)
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,6.6560138948091504e-14,6.6666869134494496e-14,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,2,3,2,true,true,false,1.4142135616286684e-8,9.9999999999996669e-1,1.0000550905475673e-16,4.0827078384708670e-9,9.9999999999996669e-1,2.0005019539399946e-13,1.9999999938126901e-13,7.4999999992879518e-1,7.4999999992879518e-1,2,1.0000000000000009e0,3.0000000086238859e13,3.0000000086238863e13,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,3,4,3,true,true,false,1.4142135616285269e-8,9.9999999999986666e-1,1.0000000168623835e-16,4.0824830183083805e-9,9.9999999999986666e-1,6.0015058618211848e-13,5.9999999642089871e-13,6.9230769230140199e-1,6.9230769230140210e-1,2,1.0000000000000004e0,7.5000000322260752e12,7.5000000322260762e12,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,4,5,4,true,true,false,1.4142135616281026e-8,9.9999999999956657e-1,1.0000000003187713e-16,4.0824829627972292e-9,9.9999999999956668e-1,1.7998354609645827e-12,1.7999999943127488e-12,6.7499999999913973e-1,6.7499999999913984e-1,2,1.0000000000000009e0,2.3076923178061479e12,2.3076923178061479e12,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,5,6,5,true,true,false,1.4142135616268299e-8,9.9999999999866662e-1,1.0000000003187713e-16,4.0824829072860780e-9,9.9999999999866662e-1,5.3999994209697500e-12,5.3999999526447133e-12,6.6942148760256681e-1,6.6942148760256692e-1,2,1.0000000000000009e0,7.5000000329285718e11,7.5000000329285730e11,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,6,7,6,true,true,false,1.4142135616230114e-8,9.9999999999596656e-1,1.0000000168623835e-16,4.0824829072860780e-9,9.9999999999596667e-1,1.6199998262996730e-11,1.6199999979103715e-11,6.6758241758039061e-1,6.6758241758039072e-1,2,1.0000000000000009e0,2.4793388538611078e11,2.4793388538611084e11,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,7,8,7,true,true,false,1.4142135616115563e-8,9.9999999998786659e-1,1.0000000168623835e-16,4.0824829627972292e-9,9.9999999998786671e-1,4.8599994789777504e-11,4.8600000098871960e-11,6.6697163768834866e-1,6.6697163768834855e-1,2,1.0000000000000009e0,8.2417582779289597e10,8.2417582779289597e10,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,8,9,8,true,true,false,1.4142135615771909e-8,9.9999999996356659e-1,1.0000000334059958e-16,4.0824830183083805e-9,9.9999999996356670e-1,1.4579998437641841e-10,1.4579999997349799e-10,6.6676829266470738e-1,6.6676829266470738e-1,2,1.0000000000000009e0,2.7447392618005013e10,2.7447392618005013e10,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,9,10,9,true,true,false,1.4142135614740948e-8,9.9999999989066668e-1,1.0000000003187713e-16,4.0824829072860780e-9,9.9999999989066668e-1,4.3740007645254470e-10,4.3739999992049234e-10,6.6670053850848465e-1,6.6670053850848454e-1,2,1.0000000000000009e0,9.1463415033331566e9,9.1463415033331566e9,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,10,11,10,true,true,false,1.4142135611648063e-8,9.9999999967196662e-1,1.0000000168623835e-16,4.0824829627972292e-9,9.9999999967196662e-1,1.3121999834125574e-9,1.3121999920066575e-9,6.6667795675238750e-1,6.6667795675238750e-1,2,1.0000000000000004e0,3.0484706970117378e9,3.0484706970117378e9,None
collinear-1e-8,0,nielsen-qr,gradient-only,boundary,36,36,36,false,false,false,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,1.9949510932093517e-9,,,,,2,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,Some(SolverConverged)
collinear-1e-8,0,nielsen-qr,gradient-only,final,36,36,36,false,false,false,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,1.9949510932093517e-9,,,,,2,0.0000000000000000e0,0.0000000000000000e0,0.0000000000000000e0,Some(SolverConverged)
collinear-1e-8,0,trust-cholesky,relative,boundary,1,2,1,true,true,false,1.4142135616287155e-8,1.0000000000000000e0,1.1102230246251565e-16,4.5324665132184805e-9,1.0000000000000000e0,3.9965393927887760e-1,3.9965393927887766e-1,1.0000000000000000e0,1.0000000000000000e0,2,1.0000000000000004e0,inf,inf,None
